"#","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/ 1M pop","Population","Continent"
"50","Paraguay","443,378","","14,178","","400,910","","28,290","457","61,381","1,963","1,618,374","224,045","7,223,424","South America"
"51","Belarus","433,409","+1,021","3,316","+10","427,025","+1,118","3,068","","45,882","351","7,072,346","748,706","9,446,090","Europe"
"52","Bulgaria","422,873","","18,169","","397,160","","7,544","91","61,340","2,635","3,404,115","493,781","6,893,973","Europe"
"53","Panama","420,916","","6,688","","400,592","","13,636","84","95,986","1,525","3,197,675","729,203","4,385,167","North America"
"54","Slovakia","392,071","+37","12,524","","379,172","+20","375","9","71,776","2,293","3,051,181","558,580","5,462,392","Europe"
"55","Thailand","391,989","+10,082","3,240","+141","278,184","+6,327","110,565","3,454","5,601","46","8,129,670","116,168","69,982,052","Asia"
"56","Costa Rica","389,798","","4,874","","313,223","","71,701","366","75,801","948","1,619,389","314,909","5,142,408","North America"
"57","Georgia","386,195","+1,808","5,538","+22","363,318","+361","17,339","","97,005","1,391","6,289,687","1,579,847","3,981,200","Asia"
"58","Kuwait","383,347","","2,193","","363,992","","17,162","333","88,409","506","3,210,665","740,459","4,336,048","Asia"
"59","Uruguay","378,480","","5,871","","367,457","","5,152","122","108,564","1,684","2,946,304","845,123","3,486,242","South America"
"60","Croatia","361,488","+139","8,236","+2","352,529","+99","723","12","88,624","2,019","2,213,700","542,719","4,078,908","Europe"
"61","Azerbaijan","338,183","+213","4,991","+1","331,200","+88","1,992","","33,045","488","3,905,500","381,618","10,234,051","Asia"
"62","Dominican Republic","337,147","+454","3,915","+5","278,707","+729","54,525","261","30,759","357","1,792,584","163,545","10,960,816","North America"
"63","Guatemala","330,651","","9,871","","288,118","","32,662","5","18,109","541","1,710,390","93,675","18,258,827","North America"
"64","Palestine","315,641","+137","3,587","+2","310,525","+196","1,529","9","60,420","687","1,947,669","372,824","5,224,094","Asia"
"65","Denmark","305,459","+1,030","2,542","+1","292,468","+369","10,449","10","52,544","437","73,345,393","12,616,604","5,813,402","Europe"
"66","Venezuela","290,524","","3,350","","273,341","","13,833","424","10,247","118","3,359,014","118,475","28,352,101","South America"
"67","Oman","289,042","","3,498","","263,752","","21,792","444","55,151","667","1,550,000","295,751","5,240,904","Asia"
"68","Egypt","283,567","","16,431","","222,315","","44,821","90","2,718","157","3,068,679","29,412","104,333,367","Africa"
"69","Sri Lanka","283,512","+1,452","3,733","+31","255,833","+962","23,946","","13,183","174","4,136,675","192,345","21,506,552","Asia"
"70","Ireland","281,954","","5,018","","262,655","","14,281","22","56,447","1,005","4,729,538","946,851","4,995,018","Europe"
"71","Lithuania","279,662","+89","4,404","","268,319","+48","6,939","12","104,247","1,642","3,894,523","1,451,722","2,682,692","Europe"
"72","Honduras","277,974","","7,391","","95,311","","175,272","677","27,610","734","834,947","82,932","10,067,877","North America"
"73","Ethiopia","277,536","","4,352","","262,237","","10,947","129","2,354","37","2,946,793","24,992","117,908,307","Africa"
"74","Cuba","275,608","+6,062","1,843","+52","230,140","+5,875","43,625","303","24,348","163","5,812,725","513,518","11,319,425","North America"
"75","Bahrain","267,727","","1,379","","265,386","","962","20","151,895","782","5,245,238","2,975,892","1,762,577","Asia"
"76","Slovenia","258,169","+61","4,425","","252,994","+33","750","10","124,165","2,128","1,372,703","660,196","2,079,235","Europe"
"77","Moldova","257,903","+61","6,224","+2","250,861","+63","818","69","64,088","1,547","1,342,278","333,551","4,024,208","Europe"
"78","Armenia","227,298","+187","4,559","+1","218,242","+114","4,497","","76,557","1,536","1,263,393","425,528","2,969,001","Asia"
"79","Myanmar","224,236","+5,497","4,769","+233","158,969","+3,010","60,498","","4,093","87","2,957,514","53,980","54,788,655","Asia"
"80","Qatar","224,044","","599","","221,913","","1,532","33","79,793","213","2,251,914","802,019","2,807,805","Asia"
"81","Libya","217,434","","3,253","","182,785","","31,396","","31,204","467","1,196,935","171,771","6,968,189","Africa"
"82","Bosnia and Herzegovina","205,285","","9,666","","187,213","","8,406","","62,979","2,965","1,051,854","322,697","3,259,572","Europe"
"83","Kenya","191,712","","3,754","","180,624","","7,334","120","3,486","68","2,043,355","37,154","54,996,973","Africa"
"84","Zambia","184,672","+1,328","3,052","+30","169,320","+1,268","12,300","820","9,763","161","2,009,509","106,234","18,915,910","Africa"
"85","S. Korea","176,500","+1,454","2,055","+4","157,960","+847","16,485","185","3,440","40","11,149,226","217,270","51,315,067","Asia"
"86","Nigeria","169,206","","2,126","","164,666","","2,414","11","800","10","2,362,757","11,176","211,422,898","Africa"
"87","North Macedonia","155,901","+19","5,487","","150,168","+9","246","","74,834","2,634","927,182","445,058","2,083,285","Europe"
"88","Algeria","151,103","","3,910","","104,397","","42,796","49","3,383","88","230,861","5,168","44,671,291","Africa"
"89","Kyrgyzstan","147,656","+1,364","2,165","+11","124,058","+1,135","21,433","102","22,252","326","1,437,874","216,686","6,635,740","Asia"
"90","Mongolia","145,787","+1,295","726","+10","125,882","+3,929","19,179","192","43,740","218","3,398,059","1,019,518","3,333,004","Asia"
"91","Afghanistan","140,224","","6,098","","86,963","","47,163","1,124","3,520","153","674,862","16,941","39,835,467","Asia"
"92","Latvia","138,126","+39","2,543","+1","135,014","+34","569","16","74,083","1,364","3,031,829","1,626,109","1,864,469","Europe"
"93","Norway","134,092","","796","","88,952","","44,344","5","24,535","146","6,297,861","1,152,344","5,465,260","Europe"
"94","Albania","132,665","+18","2,456","","130,072","+5","137","3","46,152","854","854,326","297,206","2,874,528","Europe"
"95","Estonia","131,807","+64","1,271","","128,110","+33","2,426","5","99,292","957","1,582,174","1,191,878","1,327,463","Europe"
"96","Uzbekistan","118,881","+501","793","+4","113,825","+564","4,263","23","3,499","23","1,377,915","40,560","33,972,114","Asia"
"97","Namibia","111,417","+1,052","2,467","+96","86,666","+2,053","22,284","114","43,042","953","585,118","226,039","2,588,571","Africa"
"98","Montenegro","100,590","","1,621","","98,641","","328","6","160,137","2,581","473,853","754,364","628,149","Europe"
"99","Finland","99,976","+384","978","","46,000","","52,998","10","18,015","176","5,665,513","1,020,874","5,549,669","Europe"
"100","Ghana","98,114","","806","","94,796","","2,512","12","3,091","25","1,341,973","42,274","31,744,341","Africa"
